,Row,Group,binaryClass,Year_1983,Year_1984,Year_1985,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991
250,43.0,11.0,0,0,0,0,0,1,0,0,0,0
278,19.0,5.0,0,0,0,0,0,0,1,0,0,0
299,40.0,10.0,1,0,0,0,0,0,1,0,0,0
241,34.0,9.0,1,0,0,0,0,1,0,0,0,0
371,8.0,2.0,1,0,0,0,0,0,0,0,1,0
435,20.0,5.0,1,0,0,0,0,0,0,0,0,1
303,44.0,11.0,0,0,0,0,0,0,1,0,0,0
409,46.0,12.0,0,0,0,0,0,0,0,0,1,0
452,37.0,10.0,1,0,0,0,0,0,0,0,0,1
331,20.0,5.0,0,0,0,0,0,0,0,1,0,0
211,4.0,1.0,0,0,0,0,0,1,0,0,0,0
56,5.0,2.0,0,0,1,0,0,0,0,0,0,0
23,24.0,6.0,1,1,0,0,0,0,0,0,0,0
396,33.0,9.0,0,0,0,0,0,0,0,0,1,0
391,28.0,7.0,1,0,0,0,0,0,0,0,1,0
84,33.0,9.0,1,0,1,0,0,0,0,0,0,0
365,2.0,1.0,0,0,0,0,0,0,0,0,1,0
398,35.0,9.0,0,0,0,0,0,0,0,0,1,0
301,42.0,11.0,0,0,0,0,0,0,1,0,0,0
117,14.0,4.0,0,0,0,1,0,0,0,0,0,0
87,36.0,9.0,0,0,1,0,0,0,0,0,0,0
175,20.0,5.0,0,0,0,0,1,0,0,0,0,0
142,39.0,10.0,1,0,0,1,0,0,0,0,0,0
68,17.0,5.0,1,0,1,0,0,0,0,0,0,0
17,18.0,5.0,1,1,0,0,0,0,0,0,0,0
214,7.0,2.0,0,0,0,0,0,1,0,0,0,0
65,14.0,4.0,0,0,1,0,0,0,0,0,0,0
266,7.0,2.0,0,0,0,0,0,0,1,0,0,0
280,21.0,6.0,0,0,0,0,0,0,1,0,0,0
235,28.0,7.0,1,0,0,0,0,1,0,0,0,0
375,12.0,3.0,1,0,0,0,0,0,0,0,1,0
58,7.0,2.0,1,0,1,0,0,0,0,0,0,0
185,30.0,8.0,0,0,0,0,1,0,0,0,0,0
69,18.0,5.0,1,0,1,0,0,0,0,0,0,0
253,46.0,12.0,0,0,0,0,0,1,0,0,0,0
74,23.0,6.0,1,0,1,0,0,0,0,0,0,0
145,42.0,11.0,1,0,0,1,0,0,0,0,0,0
205,50.0,13.0,0,0,0,0,1,0,0,0,0,0
450,35.0,9.0,1,0,0,0,0,0,0,0,0,1
123,20.0,5.0,0,0,0,1,0,0,0,0,0,0
102,51.0,13.0,0,0,1,0,0,0,0,0,0,0
98,47.0,12.0,1,0,1,0,0,0,0,0,0,0
12,13.0,4.0,0,1,0,0,0,0,0,0,0,0
434,19.0,5.0,1,0,0,0,0,0,0,0,0,1
378,15.0,4.0,1,0,0,0,0,0,0,0,1,0
170,15.0,4.0,0,0,0,0,1,0,0,0,0,0
190,35.0,9.0,0,0,0,0,1,0,0,0,0,0
80,29.0,8.0,1,0,1,0,0,0,0,0,0,0
316,5.0,2.0,0,0,0,0,0,0,0,1,0,0
397,34.0,9.0,0,0,0,0,0,0,0,0,1,0
402,39.0,10.0,0,0,0,0,0,0,0,0,1,0
184,29.0,8.0,0,0,0,0,1,0,0,0,0,0
354,43.0,11.0,0,0,0,0,0,0,0,1,0,0
339,28.0,7.0,0,0,0,0,0,0,0,1,0,0
332,21.0,6.0,0,0,0,0,0,0,0,1,0,0
460,45.0,12.0,1,0,0,0,0,0,0,0,0,1
168,13.0,4.0,0,0,0,0,1,0,0,0,0,0
162,7.0,2.0,0,0,0,0,1,0,0,0,0,0
376,13.0,4.0,1,0,0,0,0,0,0,0,1,0
313,2.0,1.0,0,0,0,0,0,0,0,1,0,0
29,30.0,8.0,1,1,0,0,0,0,0,0,0,0
356,45.0,12.0,0,0,0,0,0,0,0,1,0,0
340,29.0,8.0,0,0,0,0,0,0,0,1,0,0
3,4.0,1.0,1,1,0,0,0,0,0,0,0,0
320,9.0,3.0,0,0,0,0,0,0,0,1,0,0
348,37.0,10.0,0,0,0,0,0,0,0,1,0,0
269,10.0,3.0,0,0,0,0,0,0,1,0,0,0
41,42.0,11.0,1,1,0,0,0,0,0,0,0,0
377,14.0,4.0,1,0,0,0,0,0,0,0,1,0
90,39.0,10.0,0,0,1,0,0,0,0,0,0,0
456,41.0,11.0,1,0,0,0,0,0,0,0,0,1
161,6.0,2.0,0,0,0,0,1,0,0,0,0,0
419,4.0,1.0,1,0,0,0,0,0,0,0,0,1
97,46.0,12.0,1,0,1,0,0,0,0,0,0,0
262,3.0,1.0,0,0,0,0,0,0,1,0,0,0
424,9.0,3.0,1,0,0,0,0,0,0,0,0,1
1,2.0,1.0,1,1,0,0,0,0,0,0,0,0
431,16.0,4.0,1,0,0,0,0,0,0,0,0,1
144,41.0,11.0,1,0,0,1,0,0,0,0,0,0
351,40.0,10.0,0,0,0,0,0,0,0,1,0,0
465,50.0,13.0,1,0,0,0,0,0,0,0,0,1
222,15.0,4.0,0,0,0,0,0,1,0,0,0,0
113,10.0,3.0,0,0,0,1,0,0,0,0,0,0
307,48.0,12.0,0,0,0,0,0,0,1,0,0,0
451,36.0,9.0,1,0,0,0,0,0,0,0,0,1
393,30.0,8.0,1,0,0,0,0,0,0,0,1,0
133,30.0,8.0,1,0,0,1,0,0,0,0,0,0
71,20.0,5.0,1,0,1,0,0,0,0,0,0,0
290,31.0,8.0,1,0,0,0,0,0,1,0,0,0
188,33.0,9.0,0,0,0,0,1,0,0,0,0,0
39,40.0,10.0,1,1,0,0,0,0,0,0,0,0
295,36.0,9.0,1,0,0,0,0,0,1,0,0,0
357,46.0,12.0,0,0,0,0,0,0,0,1,0,0
350,39.0,10.0,0,0,0,0,0,0,0,1,0,0
459,44.0,11.0,1,0,0,0,0,0,0,0,0,1
204,49.0,13.0,0,0,0,0,1,0,0,0,0,0
47,48.0,12.0,0,1,0,0,0,0,0,0,0,0
463,48.0,12.0,1,0,0,0,0,0,0,0,0,1
437,22.0,6.0,1,0,0,0,0,0,0,0,0,1
345,34.0,9.0,0,0,0,0,0,0,0,1,0,0
64,13.0,4.0,1,0,1,0,0,0,0,0,0,0
270,11.0,3.0,0,0,0,0,0,0,1,0,0,0
24,25.0,7.0,1,1,0,0,0,0,0,0,0,0
127,24.0,6.0,1,0,0,1,0,0,0,0,0,0
67,16.0,4.0,1,0,1,0,0,0,0,0,0,0
466,51.0,13.0,0,0,0,0,0,0,0,0,0,1
302,43.0,11.0,1,0,0,0,0,0,1,0,0,0
399,36.0,9.0,1,0,0,0,0,0,0,0,1,0
323,12.0,3.0,0,0,0,0,0,0,0,1,0,0
284,25.0,7.0,0,0,0,0,0,0,1,0,0,0
191,36.0,9.0,0,0,0,0,1,0,0,0,0,0
118,15.0,4.0,0,0,0,1,0,0,0,0,0,0
306,47.0,12.0,0,0,0,0,0,0,1,0,0,0
325,14.0,4.0,0,0,0,0,0,0,0,1,0,0
341,30.0,8.0,0,0,0,0,0,0,0,1,0,0
182,27.0,7.0,0,0,0,0,1,0,0,0,0,0
218,11.0,3.0,0,0,0,0,0,1,0,0,0,0
181,26.0,7.0,0,0,0,0,1,0,0,0,0,0
238,31.0,8.0,1,0,0,0,0,1,0,0,0,0
83,32.0,8.0,1,0,1,0,0,0,0,0,0,0
216,9.0,3.0,1,0,0,0,0,1,0,0,0,0
30,31.0,8.0,1,1,0,0,0,0,0,0,0,0
455,40.0,10.0,1,0,0,0,0,0,0,0,0,1
155,52.0,13.0,0,0,0,1,0,0,0,0,0,0
53,2.0,1.0,0,0,1,0,0,0,0,0,0,0
311,52.0,13.0,0,0,0,0,0,0,1,0,0,0
373,10.0,3.0,1,0,0,0,0,0,0,0,1,0
464,49.0,13.0,1,0,0,0,0,0,0,0,0,1
449,34.0,9.0,1,0,0,0,0,0,0,0,0,1
130,27.0,7.0,1,0,0,1,0,0,0,0,0,0
121,18.0,5.0,0,0,0,1,0,0,0,0,0,0
167,12.0,3.0,0,0,0,0,1,0,0,0,0,0
447,32.0,8.0,1,0,0,0,0,0,0,0,0,1
394,31.0,8.0,0,0,0,0,0,0,0,0,1,0
152,49.0,13.0,0,0,0,1,0,0,0,0,0,0
