,Age,Civil,Can/US,binaryClass
650,43.51985,21.42088,7.031803,1
335,25.45733,19.532522,9.785742,0
500,39.196615,23.16866,10.593797,1
345,35.770033,15.31019,7.269958,0
479,44.921779,20.424878,6.527348,0
577,32.13934,12.457934,16.477936,0
5,21.2955,14.26631,14.826195,0
94,53.05573,8.139584,7.405971,1
111,44.05683,28.215953,13.898368,0
364,15.358114,13.173816,8.850418,1
99,37.62636,27.308125,8.243452,0
16,51.78011,23.46203,7.163988,1
326,19.33831,20.906443,12.330411,0
84,44.45727,21.99979,13.024019,1
133,55.23307,17.773395,5.016054,1
436,27.58703,15.89488,15.042252,1
381,20.81289,14.61795,13.026739,0
485,41.166588,18.266383,12.551181,1
506,60.722673,20.239711,11.638991,1
53,63.71057,16.96794,12.084795,0
642,46.1365,6.187768,10.065113,1
344,69.358881,11.306848,9.504275,1
119,31.24179,16.232492,7.339393,0
438,49.04764,22.65549,17.097493,0
386,28.474411,19.94129,6.819776,1
569,55.45748,16.583666,3.822964,1
656,46.00692,22.604297,6.029858,1
106,52.70474,17.011994,6.779439,0
121,55.3512,12.377082,9.109013,0
422,37.647774,20.88393,13.08259,1
343,36.617377,22.197914,15.543708,1
177,24.81329,15.740611,6.995572,0
580,42.42457,18.353914,13.576176,1
17,48.66861,20.55046,3.349288,1
572,51.6645,6.62,9.982781,1
130,54.58098,27.654524,10.258914,1
521,67.51822,20.549761,11.681895,0
320,26.04513,21.551368,9.212071,0
151,61.63084,19.977704,8.538952,0
469,26.23119,23.18444,16.589092,0
460,42.9134,25.17931,10.114287,1
378,22.210778,16.08816,8.987521,1
109,45.42079,20.391128,6.966569,0
136,24.46155,18.242142,7.086545,1
260,41.53368,12.195325,11.816814,0
451,86.34853,20.73533,12.925048,1
637,34.11756,12.142494,9.680467,1
139,57.69144,22.466682,14.11415,0
437,34.99669,17.48383,14.375103,1
131,41.29086,17.79053,12.072433,1
309,16.77547,15.077033,9.801464,0
115,30.92853,15.16459,9.504353,0
142,36.48562,20.910889,6.617271,0
347,26.344159,20.405856,12.134417,0
370,45.344062,13.360376,5.195292,1
221,40.41466,15.349022,6.369101,0
449,47.04118,16.12172,12.663076,1
63,30.85411,17.00643,7.508841,1
216,56.20882,15.296017,7.461629,1
233,63.89846,20.45024,6.861956,1
315,47.56726,21.31978,9.73627,0
232,53.2794,19.124688,5.543775,1
22,29.22088,21.2202,9.920431,0
474,55.275693,12.937596,16.314958,1
441,27.31692,21.22818,12.043276,1
270,45.94253,14.706637,4.718794,0
207,65.54899,12.05584,11.265896,0
138,55.61813,16.746416,10.894854,1
638,33.14464,20.660905,7.8957,0
587,53.61311,15.379106,7.606829,1
157,46.66138,12.902335,13.130124,1
539,43.2936,8.899102,10.662554,1
617,47.83331,20.313452,7.41991,1
120,42.1688,21.48458,17.471127,1
563,37.4203,17.930142,9.450862,0
248,57.80513,21.729942,9.455248,0
599,59.76931,11.817409,9.189564,1
513,26.042544,20.694224,8.868604,0
280,27.22417,20.468225,7.037702,1
82,29.16693,13.75281,9.239416,0
219,29.6466,21.842308,12.342195,1
351,30.087291,24.255148,11.614764,0
640,39.99518,16.703584,8.1633,1
291,55.83575,17.593661,8.800183,0
162,37.13511,23.812197,10.68145,0
369,49.060523,24.312413,11.348139,0
7,41.13384,21.82097,5.629469,1
334,33.74492,12.447207,10.720647,1
516,10.253819,22.721846,6.816753,1
265,46.4507,19.3341,7.110023,1
431,39.6692,15.80799,16.528961,1
405,33.435221,22.9502,6.141633,0
40,32.85657,17.12442,7.96686,1
59,33.77907,23.11272,11.328474,1
588,40.05817,13.212524,11.352816,1
545,49.89578,24.674631,12.631449,1
491,40.205231,23.834766,14.476187,1
649,37.45922,10.38496,5.598704,1
67,31.09277,20.50169,8.384408,1
146,49.17934,23.330185,3.628963,1
495,45.489666,13.37087,9.201595,1
183,59.88674,20.321144,12.390783,1
92,50.90849,19.67577,8.997192,0
618,49.13016,10.611498,12.358422,0
496,68.596109,22.060112,9.833374,1
251,32.42597,15.384853,8.413819,0
567,38.21875,17.328794,10.56574,0
296,64.96523,17.465204,10.280937,1
483,27.761614,17.972974,9.729476,0
634,43.84731,14.117052,11.936831,1
246,37.18458,19.633485,9.266108,0
430,48.05998,24.5897,16.288108,1
83,30.30996,16.85495,12.189791,0
288,29.64146,25.258861,6.702272,0
116,38.29697,22.088098,7.034256,1
660,52.94066,23.15644,9.315394,0
534,53.34956,15.350263,10.582884,1
406,40.651805,17.33598,7.536756,0
103,50.97347,12.843044,4.782641,0
515,34.252523,17.385999,8.555551,0
653,31.11619,16.33586,9.948593,1
535,55.68577,14.655886,9.599982,0
375,34.582052,24.845964,7.988592,0
242,37.46485,15.54808,8.493279,1
626,48.55079,9.40014,9.254396,1
574,41.81185,14.342547,3.926095,1
359,33.344598,9.735197,5.487614,0
397,37.330994,15.06356,8.725045,1
247,62.52043,26.458374,8.196291,0
102,36.06605,28.928272,9.041547,0
536,54.17727,11.271969,9.202201,1
455,48.34819,21.34822,15.416628,1
161,35.06906,8.709831,9.465636,1
601,39.12111,18.795391,5.868923,1
253,45.40749,13.339865,8.009123,1
661,56.36546,26.19698,8.945167,0
10,53.40041,23.1884,10.86045,0
197,54.57599,14.074689,11.509513,1
198,34.0869,27.941119,8.114843,0
30,59.22101,21.84382,17.137112,1
267,52.99711,19.309392,12.070356,1
113,62.59774,20.919083,10.388981,0
310,28.08265,14.427995,8.069751,1
181,41.84103,16.692216,7.696428,0
350,34.522211,17.550902,13.942453,0
212,58.19262,22.645483,6.172131,1
578,57.38154,12.804321,14.313667,1
78,31.48746,18.88074,8.664322,0
497,21.734866,15.477264,12.002467,1
222,47.8814,21.949343,11.515462,0
524,38.14652,20.968269,3.929433,1
391,44.907433,18.42315,8.886062,0
501,44.3598,12.205302,10.141978,0
223,22.74127,14.627164,8.479685,0
220,33.63723,14.7186,13.514638,0
570,68.57693,14.643576,7.573378,1
443,48.89466,17.54515,13.181473,1
565,27.13272,7.078137,11.054741,1
264,53.37299,26.434646,10.273378,1
471,22.337966,21.486735,11.688409,0
582,26.79906,20.96015,10.348917,1
374,36.099261,24.154498,8.522466,0
312,59.54406,24.950137,10.180288,0
305,33.21391,22.908103,8.570925,0
141,43.34206,22.688619,9.835175,1
442,17.09089,21.72269,14.60494,0
435,30.10235,24.01198,15.647353,1
530,43.17396,20.935755,7.650895,1
214,53.60874,21.199402,5.329041,0
271,55.86264,15.431608,7.137593,0
538,36.25057,6.786616,10.811434,1
402,25.766973,13.42207,7.76539,0
1,55.55914,18.82398,4.649171,1
289,34.83502,21.971171,12.085118,0
371,23.183892,4.557017,6.669782,1
594,39.7746,25.032323,8.126344,1
174,23.26574,14.75468,7.074944,1
590,42.71626,9.549119,11.545357,1
541,43.3847,12.346613,10.055146,1
614,58.38708,16.51151,7.821091,1
552,52.6591,21.526575,6.733218,1
234,44.82385,19.974279,11.221296,1
411,47.144489,19.62611,8.643948,0
341,28.594007,16.089747,13.144303,1
187,58.10445,10.391472,8.797247,0
172,61.79682,12.790605,7.545257,0
537,45.05247,14.515676,9.863002,1
195,71.17361,17.724629,9.673689,0
123,60.88695,17.859766,16.815912,0
62,60.84548,19.47414,6.690848,0
482,41.281172,8.621967,9.039859,1
329,35.897613,14.365131,8.753803,1
606,75.03164,10.741635,8.18544,1
635,57.83679,9.985611,10.537891,1
147,35.70558,22.617787,5.605206,0
61,34.1775,17.75105,11.36868,1
175,46.60449,23.442024,9.883852,1
605,31.13889,12.537516,19.704967,1
281,36.19063,22.686109,10.542895,0
206,30.47829,23.393447,12.673605,0
178,46.23423,24.792988,6.147864,1
97,28.18625,16.265045,6.60199,0
34,46.27111,23.04858,7.546625,0
203,52.84455,19.3502,8.871596,0
6,54.14984,15.5977,5.549157,1
542,38.9539,8.732718,9.207038,1
598,37.77111,13.06962,8.502495,1
29,47.40993,15.54821,8.253026,0
85,19.66987,15.12152,10.161239,0
504,58.909863,21.255619,7.006562,0
47,28.48044,19.01452,11.769225,0
46,39.00749,18.88768,10.276209,0
211,14.79888,11.516309,8.457625,0
522,45.42082,6.125765,10.059463,0
297,35.63511,10.577788,3.615873,1
110,48.5508,20.766737,7.195625,1
328,26.31214,18.513534,13.173749,1
104,43.75758,14.928319,3.680485,0
87,46.87087,22.14846,10.763728,0
179,70.29629,12.006633,10.939566,0
358,41.135187,15.766446,6.889815,1
532,46.55165,13.875358,7.084541,1
287,36.55557,15.541889,8.662405,1
448,19.05106,24.58889,13.268216,1
632,12.30815,15.013753,12.930988,1
419,57.215942,19.44594,18.168903,1
527,51.07698,25.890407,8.246586,0
298,53.65412,22.340214,9.342364,0
26,73.14208,25.81556,5.392962,0
361,15.675535,17.464701,7.321212,1
423,26.73864,22.48441,16.068017,1
76,53.20888,19.28388,11.385194,0
616,59.17493,14.131185,10.243287,1
18,68.20977,20.71243,8.180897,1
529,22.35162,25.533541,8.374491,1
511,25.860187,14.218694,10.130497,1
73,54.82461,20.53692,8.685458,1
623,85.60081,16.035598,13.969582,1
420,31.207326,13.06569,13.17724,0
492,24.427702,22.454588,11.873602,0
421,35.290038,18.6837,12.222727,1
266,29.0559,20.507399,13.104157,0
224,26.13136,20.462911,12.679117,1
446,47.51883,20.7884,13.55225,1
466,30.57606,19.80795,8.042242,0
244,61.03989,22.615826,11.404817,1
624,52.02766,20.387154,13.257636,1
548,28.28778,19.070934,8.168677,1
427,40.47998,18.19815,14.483848,1
118,35.11554,19.199661,6.712813,1
236,53.20617,17.752217,13.321251,0
387,36.040008,16.99114,10.705824,1
356,20.494516,19.481059,14.845255,1
269,30.70343,15.406966,12.692309,1
286,55.25422,22.256701,12.493911,0
440,28.94017,5.08754,10.513789,1
520,47.71692,20.429739,9.050897,0
208,48.33793,16.846848,7.788146,1
228,38.79711,19.180337,6.212635,0
462,20.45784,18.06936,16.040935,0
145,41.34369,13.519761,6.231202,0
213,39.5164,16.291101,7.389027,1
528,16.87198,20.340652,4.650337,0
546,46.91539,11.378477,5.983241,1
74,34.48473,21.45076,4.187657,0
193,26.33586,21.311578,11.364397,0
373,29.310326,24.268888,10.334747,0
225,55.73829,22.162889,11.273514,0
302,37.44892,21.012571,9.340258,1
625,54.37317,24.896454,13.728958,1
91,50.80356,12.18998,7.530484,0
409,21.558333,16.71315,7.214614,1
235,51.91839,17.062731,11.967294,1
621,54.02257,9.569278,9.544593,0
35,60.69474,15.60124,12.359905,1
3,38.65486,16.11274,9.091577,0
557,56.72969,9.533373,8.608737,1
149,46.56104,6.65812,11.099651,0
245,45.54119,17.43247,16.94234,0
447,66.65787,18.85815,8.831561,1
592,22.78557,22.571975,11.98118,1
389,76.232505,15.6421,5.311985,0
583,37.1045,6.228705,7.243863,1
70,26.24839,16.37618,9.206887,0
259,61.42267,16.935752,12.247836,1
43,44.93738,24.62855,4.594869,1
215,69.09475,14.534605,12.274006,1
60,17.25073,20.25152,9.062926,0
4,31.14866,14.08295,11.007282,0
238,51.62719,15.047487,12.487891,1
553,48.51887,14.134222,7.701408,1
127,30.80643,19.919702,11.187533,0
654,51.23527,15.119345,9.142088,1
218,41.57724,23.944098,11.222187,0
9,84.19693,18.86272,7.066119,0
602,34.25624,18.991364,12.711909,1
365,16.215195,19.380893,11.160728,1
93,36.3622,21.77894,12.502025,0
544,53.58814,6.039156,8.444729,1
307,14.61102,9.710113,11.992576,1
519,23.29286,14.217774,4.934948,1
